gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,7.0,2026-06-24 01:47:06 UTC,7.0,1.7812,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,94.0,2026-06-24 01:47:06 UTC,94.0,1.7837,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,198.0,2026-06-24 01:47:04 UTC,198.0,1.7837,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,357.0,2026-06-24 01:43:29 UTC,357.0,1.7925,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,11.0,2026-06-24 01:43:29 UTC,11.0,1.7925,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,23.0,2026-06-24 01:43:28 UTC,23.0,1.7925,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,346.0,2026-06-24 01:39:59 UTC,346.0,1.7975,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,349.0,2026-06-24 01:39:58 UTC,349.0,1.7988,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,334.0,2026-06-24 01:39:54 UTC,334.0,1.8013,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Not Norway,1X2,365.0,2026-06-24 01:39:54 UTC,365.0,1.8025,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,2.0,2026-06-24 01:19:49 UTC,2.0,1.7163,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
